1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
1.95 ,2.02 ,2.01 ,2.07 ,2.07 ,1.71 ,2.04 ,2.06 ,2.09 
2.90 ,2.93 ,3.01 ,2.97 ,3.02 ,2.44 ,2.96 ,3.01 ,2.85 
3.86 ,3.92 ,4.00 ,4.09 ,4.02 ,3.59 ,3.85 ,3.87 ,3.98 
4.90 ,4.96 ,4.91 ,5.03 ,4.78 ,4.01 ,4.89 ,5.08 ,4.56 
6.05 ,5.83 ,5.78 ,6.06 ,6.07 ,4.95 ,5.93 ,6.11 ,6.14 
6.82 ,7.13 ,6.89 ,6.98 ,7.00 ,6.53 ,6.85 ,7.06 ,6.79 
7.24 ,7.85 ,7.39 ,7.35 ,7.82 ,7.92 ,7.67 ,7.45 ,7.77 
